transaction_id,customer_id,transaction_date,amount,type,status,region,last_login
TXN-101,CUST-01,2026-01-05 10:00:00,1000.0,invoice,active,NA,2026-08-01
TXN-102,CUST-01,2026-01-12 11:30:00,200.0,refund,active,NA,2026-08-01
TXN-103,CUST-02,2026-01-15 09:15:00,2500.0,invoice,active,NA,2026-08-10
TXN-104,CUST-02,2026-01-20 14:00:00,500.0,refund,active,NA,2026-08-10
TXN-105,CUST-03,2026-01-18 16:45:00,3000.0,invoice,pending,NA,2026-05-01
TXN-106,CUST-04,2026-01-22 12:00:00,4500.0,invoice,active,EU,2026-08-12
TXN-107,CUST-05,2026-01-25 08:30:00,1200.0,invoice,active,NA,2026-08-15
TXN-108,CUST-05,2026-01-28 17:10:00,1200.0,refund,active,NA,2026-08-15
TXN-109,CUST-06,2026-01-29 13:20:00,5000.0,invoice,cancelled,NA,2026-08-14
TXN-110,CUST-07,2026-02-02 11:00:00,3500.0,invoice,active,NA,2026-08-16
